,step,s,e,i,h,r,d,v
222,223,4284,0,2422,106,598,10,2580
223,224,4284,0,2392,107,627,10,2580
224,225,4284,0,2362,105,659,10,2580
225,226,4284,0,2324,104,697,11,2580
226,227,4284,0,2293,105,726,12,2580
227,228,4278,0,2265,101,756,14,2586
228,229,4278,0,1921,83,1118,14,2586
229,230,4278,0,1641,70,1410,15,2586
230,231,4278,0,1396,66,1659,15,2586
231,232,4278,0,1209,62,1849,16,2586
232,233,4278,0,1043,51,2026,16,2586
233,234,4278,0,941,49,2130,16,2586
234,235,4278,0,858,45,2214,19,2586
235,236,4278,0,794,40,2283,19,2586
236,237,4278,0,736,41,2340,19,2586
237,238,4278,0,687,40,2389,20,2586
238,239,4278,0,644,40,2432,20,2586
239,240,4276,0,610,32,2474,20,2588
240,241,4276,0,503,19,2594,20,2588
241,242,4276,0,502,20,2594,20,2588
242,243,4276,0,502,20,2594,20,2588
243,244,4276,0,502,20,2594,20,2588
244,245,4276,0,501,21,2594,20,2588
245,246,4276,0,501,21,2594,20,2588
246,247,4276,0,501,21,2594,20,2588
247,248,4276,0,500,22,2594,20,2588
248,249,4276,0,500,22,2594,20,2588
249,250,4276,0,500,22,2594,20,2588
250,251,4276,0,499,23,2594,20,2588
251,252,4275,0,498,24,2594,20,2589
252,253,4275,0,495,25,2596,20,2589
253,254,4275,0,493,25,2598,20,2589
254,255,4275,0,492,25,2599,20,2589
255,256,4275,0,490,25,2601,20,2589
256,257,4275,0,490,25,2601,20,2589
257,258,4275,0,490,25,2601,20,2589
258,259,4275,0,490,25,2601,20,2589
259,260,4275,0,490,25,2601,20,2589
260,261,4275,0,490,25,2601,20,2589
261,262,4275,0,489,26,2601,20,2589
262,263,4275,0,489,26,2601,20,2589
263,264,4271,0,487,25,2602,22,2593
264,265,4271,0,486,22,2602,26,2593
265,266,4271,0,486,22,2602,26,2593
266,267,4271,0,486,19,2602,29,2593
267,268,4271,0,486,17,2602,31,2593
268,269,4271,0,486,16,2602,32,2593
269,270,4271,0,486,15,2602,33,2593
270,271,4271,0,486,15,2602,33,2593
271,272,4271,0,486,15,2602,33,2593
272,273,4271,0,486,14,2602,34,2593
273,274,4271,0,486,14,2602,34,2593
274,275,4271,0,486,12,2602,36,2593
275,276,4269,0,486,12,2602,36,2595
276,277,4269,0,475,10,2602,49,2595
277,278,4269,0,470,8,2602,56,2595
278,279,4269,0,457,6,2602,71,2595
279,280,4269,0,440,6,2602,88,2595
280,281,4269,0,423,5,2602,106,2595
281,282,4269,0,414,4,2602,116,2595
282,283,4269,0,406,4,2602,124,2595
283,284,4269,0,397,4,2602,133,2595
284,285,4269,0,384,4,2602,146,2595
285,286,4269,0,370,4,2602,160,2595
286,287,4269,0,360,4,2602,170,2595
287,288,4267,0,355,2,2602,177,2597
288,289,4267,0,222,1,2602,311,2597
289,290,4267,0,124,1,2602,409,2597
290,291,4267,0,77,1,2602,456,2597
291,292,4267,0,47,1,2602,486,2597
292,293,4267,0,25,2,2602,507,2597
293,294,4267,0,14,2,2602,518,2597
294,295,4267,0,9,2,2602,523,2597
295,296,4267,0,7,1,2602,526,2597
296,297,4267,0,4,1,2602,529,2597
297,298,4267,0,2,1,2602,531,2597
298,299,4267,0,0,0,2602,534,2597
